Sumo__Time	Sumo__Plant__Influent__param__Q
0	25100
0.041666667	24800
0.083333333	24400
0.125	23800
0.166666667	23200
0.208333333	22650
0.25	22250
0.291666667	22100
0.333333333	22300
0.375	22700
0.416666667	23250
0.458333333	23800
0.5	24250
0.541666667	24550
0.583333333	24700
0.625	24700
0.666666667	24650
0.708333333	24550
0.75	24500
0.791666667	24500
0.833333333	24600
0.875	24750
0.916666667	24900
0.958333333	24950
1	25100
1.041666667	24800
1.083333333	24400
1.125	23800
1.166666667	23200
1.208333333	22650
1.25	22250
1.291666667	22100
1.333333333	22300
1.375	22700
1.416666667	23250
1.458333333	23800
1.5	24250
1.541666667	24550
1.583333333	24700
1.625	24700
1.666666667	24650
1.708333333	24550
1.75	24500
1.791666667	24500
1.833333333	24600
1.875	24750
1.916666667	24900
1.958333333	24950
2	25100
2.041666667	24800
2.083333333	24400
2.125	23800
2.166666667	23200
2.208333333	22650
2.25	22250
2.291666667	22100
2.333333333	22300
2.375	22700
2.416666667	23250
2.458333333	23800
2.5	24250
2.541666667	24550
2.583333333	24700
2.625	24700
2.666666667	24650
2.708333333	24550
2.75	24500
2.791666667	24500
2.833333333	24600
2.875	24750
2.916666667	24900
2.958333333	24950
3	25100
3.041666667	24800
3.083333333	24400
3.125	23800
3.166666667	23200
3.208333333	22650
3.25	22250
3.291666667	22100
3.333333333	22300
3.375	22700
3.416666667	23250
3.458333333	23800
3.5	24250
3.541666667	24550
3.583333333	24700
3.625	24700
3.666666667	24650
3.708333333	24550
3.75	24500
3.791666667	24500
3.833333333	24600
3.875	24750
3.916666667	24900
3.958333333	24950
4	25100
4.041666667	24800
4.083333333	24400
4.125	23800
4.166666667	23200
4.208333333	22650
4.25	22250
4.291666667	22100
4.333333333	22300
4.375	22700
4.416666667	23250
4.458333333	23800
4.5	24250
4.541666667	24550
4.583333333	24700
4.625	24700
4.666666667	24650
4.708333333	24550
4.75	24500
4.791666667	24500
4.833333333	24600
4.875	24750
4.916666667	24900
4.958333333	24950
5	25100
5.041666667	24800
5.083333333	24400
5.125	23800
5.166666667	23200
5.208333333	22650
5.25	22250
5.291666667	22100
5.333333333	22300
5.375	22700
5.416666667	23250
5.458333333	23800
5.5	24250
5.541666667	24550
5.583333333	24700
5.625	24700
5.666666667	24650
5.708333333	24550
5.75	24500
5.791666667	24500
5.833333333	24600
5.875	24750
5.916666667	24900
5.958333333	24950
6	25100
6.041666667	24800
6.083333333	24400
6.125	23800
6.166666667	23200
6.208333333	22650
6.25	22250
6.291666667	22100
6.333333333	22300
6.375	22700
6.416666667	23250
6.458333333	23800
6.5	24250
6.541666667	24550
6.583333333	24700
6.625	24700
6.666666667	24650
6.708333333	24550
6.75	24500
6.791666667	24500
6.833333333	24600
6.875	24750
6.916666667	24900
6.958333333	24950
7	25100
7.041666667	24800
7.083333333	24400
7.125	23800
7.166666667	23200
7.208333333	22650
7.25	22250
7.291666667	22100
7.333333333	22300
7.375	22700
7.416666667	23250
7.458333333	23800
7.5	24250
7.541666667	24550
7.583333333	24700
7.625	24700
7.666666667	24650
7.708333333	24550
7.75	24500
7.791666667	24500
7.833333333	24600
7.875	24750
7.916666667	24900
7.958333333	24950
8	25100
8.041666667	24800
8.083333333	24400
8.125	23800
8.166666667	23200
8.208333333	22650
8.25	22250
8.291666667	22100
8.333333333	22300
8.375	22700
8.416666667	23250
8.458333333	23800
8.5	24250
8.541666667	24550
8.583333333	24700
8.625	24700
8.666666667	24650
8.708333333	24550
8.75	24500
8.791666667	24500
8.833333333	24600
8.875	24750
8.916666667	24900
8.958333333	24950
9	25100
9.041666667	24800
9.083333333	24400
9.125	23800
9.166666667	23200
9.208333333	22650
9.25	22250
9.291666667	22100
9.333333333	22300
9.375	22700
9.416666667	23250
9.458333333	23800
9.5	24250
9.541666667	24550
9.583333333	24700
9.625	24700
9.666666667	24650
9.708333333	24550
9.75	24500
9.791666667	24500
9.833333333	24600
9.875	24750
9.916666667	24900
9.958333333	24950
10	25100
