Sumo__Time	Sumo__Plant__Influent__param__Q	Sumo__Plant__Influent__param__TCOD	Sumo__Plant__Influent__param__TKN	Sumo__Plant__Influent__param__TP	Sumo__Plant__Influent__param__frSPO4_TP	Sumo__Plant__Influent__param__T
1	2324242.835376	217.650496	20	2.46	0.4	11.8
2	2460517.6596	256.6248244	20	2.63	0.41	11.8
3	3501505.90020001	285.5869992	20	1.99	0.34	10.3
4	3425797.66452001	197.8735393	20	1.72	0.45	10.8
5	2634646.601664	196.5148123	20	2.14	0.43	11.8
6	2445376.012464	245.834471	20	2.78	0.38	11.8
7	2233392.95256	291.5290817	20	3.08	0.4	11.8
8	2267461.658616	264.289279	20	2.88	0.46	11.8
9	2271247.0704	257.1899303	20	3.09	0.47	11.8
10	2680071.543072	310.322366	20	2.9	0.43	10.7
11	3596141.19480001	224.2317636	20	1.64	0.45	8.3
12	3615068.25372001	200.9152602	20	1.39	0.45	8.8
13	3599926.60658401	173.0455529	20	1.32	0.37	8.8
14	3316020.72278401	206.9734076	20	1.61	0.47	9.7
15	2596792.483824	186.4202153	20	2.11	0.43	10.7
16	2664929.895936	209.3583066	20	2.65	0.6	10.7
17	3577214.13588001	239.0286998	20	1.93	0.32	7.5
18	3618853.66550401	153.2850415	20	1.45	0.43	8.7
19	3478793.42949601	199.9396101	20	1.67	0.46	9.7
20	3334947.78170401	239.1937323	20	2.04	0.33	10
21	3122964.72180001	192.8835786	20	1.98	0.43	9.9
22	2861771.308704	221.5871683	20	2.46	0.34	10.4
23	2941264.956168	206.0422521	20	2.6	0.39	10.7
24	2767136.014104	183.1337721	20	1.92	0.4	10.8
25	2649788.2488	191.1894862	20	2.54	0.39	11
26	2479444.71852	200.5026266	20	2.42	0.46	11.1
27	2517298.83636	276.1930114	20	3.02	0.32	11.1
28	2134972.246176	326.6198125	20	4.43	0.44	11.1
29	2312886.600024	232.5655016	20	3.21	0.52	10.9
30	2195538.83472	234.7924715	20	2.84	0.43	10.8
31	2350740.717864	238.3349279	20	2.92	0.6	10.7
32	2426448.953544	225.0652344	20	2.8	0.48	10.7
33	2422663.54176	236.5138996	20	2.79	0.45	10.5
34	2324242.835376	268.8442148	20	2.48	0.43	10.6
35	2222036.717208	288.3660583	20	3.08	0.37	10.4
36	2218251.305424	235.9394533	20	3.04	0.56	10.3
37	2312886.600024	258.4516495	20	3.21	0.39	10.3
38	2941264.956168	330.741443	20	2.75	0.31	8.7
39	3618853.66550401	151.0215349	20	1.12	0.41	8.2
40	3615068.25372001	150.3979598	20	1.36	0.43	9.2
41	3096466.839312	230.548674	20	2.4	0.29	9.5
42	2683856.954856	196.0047461	20	1.54	0.6	9.6
43	3304664.48743201	221.4828807	20	1.48	0.45	9.1
44	3062398.133256	218.8859604	20	4.03	0.38	9.2
45	2778492.249456	216.9575592	20	2.07	0.41	9.8
46	2646002.837016	207.5359333	20	2.36	0.44	10.2
47	2471873.894952	216.5832358	20	2.26	0.43	10.2
48	2543796.718848	257.6524725	20	3.29	0.42	9.9
49	2456732.247816	246.9981829	20	3.15	0.44	10.1
50	2320457.423592	217.3615138	20	2.43	0.56	10.2
51	2354526.129648	247.1966324	20	3	0.42	10.4
52	2263676.246832	260.4180592	20	3.21	0.4	10.4
53	2286388.717536	261.9881942	20	3.17	0.42	10.6
54	2301530.364672	252.7206015	20	3.16	0.34	10.5
55	2627075.778096	339.7669817	20	2.71	0.29	10.7
56	3550716.25339201	367.6996605	20	2.02	0.27	10.8
57	3119179.310016	239.4867944	20	1.56	0.47	10.5
58	2638432.013448	261.8536661	20	2.65	0.33	10.7
59	2672500.719504	256.3685107	20	2.54	0.39	10.9
60	3618853.66550401	270.1187646	20	2.07	0.25	10.3
61	3622639.07728801	140.5587757	20	1.54	0.45	10.1
62	3622639.07728801	177.6933838	20	1.61	0.36	10.2
63	3331162.36992001	176.214304	20	1.73	0.39	10.1
64	2857985.89692	204.1481756	20	2.01	0.58	10.1
65	2767136.014104	268.6911785	20	2.62	0.31	10.4
66	2903410.838328	234.3160613	20	2.39	0.35	10.4
67	2551367.542416	203.5728118	20	2.14	0.31	10.6
68	2309101.18824	233.4648089	20	2.5	0.36	10.6
69	2240963.776128	248.9045106	20	2.21	0.38	10.4
70	2138757.65796	276.5984696	20	2.67	0.43	10.3
71	2116045.187256	234.9062771	20	2.36	0.52	10.2
72	2256105.423264	254.8483355	20	2.97	0.35	10.4
73	2256105.423264	262.1897751	20	3.18	0.28	10.2
74	2078191.069416	241.3948503	20	2.58	0.35	10.1
75	2184182.599368	286.1413695	20	2.86	0.36	10.3
76	2225822.128992	306.1067158	20	2.73	0.39	10.3
77	2827702.602648	375.7057012	20	1.68	0.26	10.1
78	2475659.306736	209.3363063	20	2	0.43	10.1
79	2570294.601336	282.7532944	20	2.63	0.38	10.4
80	2369667.776784	215.80068	20	2.29	0.41	10.6
81	2377238.600352	248.4309537	20	2.82	0.4	10.2
82	2331813.658944	263.4818018	20	2.49	0.44	10.3
83	2808775.543728	281.9610187	20	2.97	0.37	10.1
