Sumo__Time	Sumo__Plant__Metal1__param__Femass
1	5809975
2	6150625
3	8752812.5
4	8563562.5
5	6585900
6	6112775
7	5582875
8	5668037.5
9	5677500
10	6699450
11	8989375
12	9036687.5
13	8998837.5
14	8289150
15	6491275
16	6661600
17	8942062.5
18	9046150
19	8696037.5
20	8336462.5
21	7806562.5
22	7153650
23	7352362.5
24	6917087.5
25	6623750
26	6197937.5
27	6292562.5
28	5336850
29	5781587.5
30	5488250
31	5876212.5
32	6065462.5
33	6056000
34	5809975
35	5554487.5
36	5545025
37	5781587.5
38	7352362.5
39	9046150
40	9036687.5
41	7740325
42	6708912.5
43	8260762.5
44	7655162.5
45	6945475
46	6614287.5
47	6179012.5
48	6358800
49	6141162.5
50	5800512.5
51	5885675
52	5658575
53	5715350
54	5753200
55	6566975
56	8875825
57	7797100
58	6595362.5
59	6680525
60	9046150
61	9055612.5
62	9055612.5
63	8327000
64	7144187.5
65	6917087.5
66	7257737.5
67	6377725
68	5772125
69	5601800
70	5346312.5
71	5289537.5
72	5639650
73	5639650
74	5194912.5
75	5459862.5
76	5563950
77	7068487.5
78	6188475
79	6425037.5
80	5923525
81	5942450
82	5828900
83	7021175
84	6907625
85	7674087.5
86	7390212.5
87	6614287.5
88	6349337.5
89	7967425
90	8960987.5
91	8989375
92	8979912.5
93	8970450
94	8960987.5
95	8790662.5
96	8923137.5
97	8960987.5
98	8970450
99	9027225
100	8837975
101	8970450
102	9036687.5
103	8951525
104	8251300
105	7513225
106	6917087.5
107	6425037.5
108	6358800
109	6917087.5
110	8942062.5
111	8960987.5
112	8904212.5
113	8364850
114	6907625
115	5951912.5
116	5838362.5
117	6538587.5
118	5895137.5
119	5431475
120	8345925
121	8762275
122	7617312.5
123	6689987.5
124	7901187.5
125	8970450
126	8942062.5
127	9008300
128	8970450
129	8762275
130	8128287.5
131	7825487.5
132	7257737.5
133	6481812.5
134	6264175
135	6481812.5
136	7579462.5
137	6349337.5
138	6018150
139	5838362.5
140	6320950
141	8743350
142	8942062.5
143	8099900
144	7096875
145	8819050
146	8942062.5
147	7115800
148	6633212.5
149	6680525
150	5847825
151	5989762.5
152	5422012.5
153	5223300
154	5194912.5
155	5355775
156	5469325
157	5185450
158	5317925
159	5232762.5
160	5270612.5
161	5242225
162	5242225
163	5705887.5
164	5393625
165	5478787.5
166	8298612.5
167	7816025
168	6349337.5
169	5440937.5
170	6103312.5
171	5573412.5
172	4986737.5
173	5232762.5
174	8781200
175	6377725
176	5100287.5
177	5412550
178	5223300
179	5071900
180	5043512.5
181	6566975
182	7172575
183	5119212.5
184	5138137.5
185	4740712.5
186	4882650
187	5289537.5
188	7882262.5
189	7579462.5
190	5582875
191	7418600
192	8062050
193	8970450
194	8989375
195	7891725
196	5488250
197	4967812.5
198	5507175
199	4778562.5
200	5270612.5
201	4769100
202	5365237.5
203	5242225
204	5440937.5
205	5261150
206	5052975
207	4740712.5
208	5213837.5
209	5043512.5
210	4854262.5
211	4788025
212	5138137.5
213	4778562.5
214	5743737.5
215	8156675
216	7967425
217	5270612.5
218	4967812.5
219	5270612.5
220	4693400
221	4892112.5
222	4504150
223	5989762.5
224	4977275
225	4655550
226	4854262.5
227	5516637.5
228	4769100
229	7834950
230	7437525
231	5601800
232	4958350
233	5100287.5
234	6065462.5
235	4456837.5
236	4560925
237	4731250
238	4598775
239	4560925
240	5743737.5
241	8951525
242	8970450
243	7030637.5
244	5876212.5
245	5194912.5
246	4929962.5
247	5686962.5
248	7844412.5
249	5346312.5
250	5715350
251	4977275
252	4456837.5
253	4683937.5
254	4844800
255	4721787.5
256	4513612.5
257	4939425
258	4750175
259	4258125
260	4589312.5
261	4617700
262	5166525
263	4352750
264	4797487.5
265	4485225
266	4295975
267	4447375
268	4655550
269	4400062.5
270	4608237.5
271	4144575
272	4542000
273	4324362.5
274	4447375
275	4466300
276	4286512.5
277	3917475
278	3330800
279	6320950
280	4929962.5
281	5791050
282	4721787.5
283	4258125
284	7598387.5
285	8573025
286	6188475
287	6226325
288	8166137.5
289	5705887.5
290	4617700
291	4560925
292	4589312.5
293	4447375
294	4731250
295	4683937.5
296	5668037.5
297	6141162.5
298	5327387.5
299	4683937.5
300	5024587.5
301	6888700
302	4939425
303	5005662.5
304	4986737.5
305	4778562.5
306	8866362.5
307	8308075
308	7229350
309	8743350
310	8327000
311	6273637.5
312	4835337.5
313	4977275
314	4712325
315	4665012.5
316	5109750
317	5535562.5
318	4882650
319	5961375
320	6160087.5
321	5289537.5
322	8639262.5
323	9027225
324	8998837.5
325	8185062.5
326	6718375
327	6169550
328	4986737.5
329	5299000
330	4967812.5
331	5573412.5
332	4996200
333	5620725
334	6103312.5
335	5213837.5
336	5034050
337	4769100
338	5109750
339	4920500
340	4759637.5
341	4617700
342	4769100
343	4560925
344	4210812.5
345	4825875
346	4475762.5
347	4816412.5
348	4683937.5
349	4835337.5
350	4598775
351	4882650
352	6292562.5
353	7957962.5
354	6264175
355	5951912.5
356	5459862.5
357	5299000
358	5280075
359	5081362.5
360	5043512.5
361	5223300
362	4939425
363	4901575
364	4977275
365	4929962.5
