Sumo__Time	Sumo__Plant__Metal1__param__Femass
1	4647980
2	4920500
3	7002250
4	6850850
5	5268720
6	4890220
7	4466300
8	4534430
9	4542000
10	5359560
11	7191500
12	7229350
13	7199070
14	6631320
15	5193020
16	5329280
17	7153650
18	7236920
19	6956830
20	6669170
21	6245250
22	5722920
23	5881890
24	5533670
25	5299000
26	4958350
27	5034050
28	4269480
29	4625270
30	4390600
31	4700970
32	4852370
33	4844800
34	4647980
35	4443590
36	4436020
37	4625270
38	5881890
39	7236920
40	7229350
41	6192260
42	5367130
43	6608610
44	6124130
45	5556380
46	5291430
47	4943210
48	5087040
49	4912930
50	4640410
51	4708540
52	4526860
53	4572280
54	4602560
55	5253580
56	7100660
57	6237680
58	5276290
59	5344420
60	7236920
61	7244490
62	7244490
63	6661600
64	5715350
65	5533670
66	5806190
67	5102180
68	4617700
69	4481440
70	4277050
71	4231630
72	4511720
73	4511720
74	4155930
75	4367890
76	4451160
77	5654790
78	4950780
79	5140030
80	4738820
81	4753960
82	4663120
83	5616940
84	5526100
85	6139270
86	5912170
87	5291430
88	5079470
89	6373940
90	7168790
91	7191500
92	7183930
93	7176360
94	7168790
95	7032530
96	7138510
97	7168790
98	7176360
99	7221780
100	7070380
101	7176360
102	7229350
103	7161220
104	6601040
105	6010580
106	5533670
107	5140030
108	5087040
109	5533670
110	7153650
111	7168790
112	7123370
113	6691880
114	5526100
115	4761530
116	4670690
117	5230870
118	4716110
119	4345180
120	6676740
121	7009820
122	6093850
123	5351990
124	6320950
125	7176360
126	7153650
127	7206640
128	7176360
129	7009820
130	6502630
131	6260390
132	5806190
133	5185450
134	5011340
135	5185450
136	6063570
137	5079470
138	4814520
139	4670690
140	5056760
141	6994680
142	7153650
143	6479920
144	5677500
145	7055240
146	7153650
147	5692640
148	5306570
149	5344420
150	4678260
151	4791810
152	4337610
153	4178640
154	4155930
155	4284620
156	4375460
157	4148360
158	4254340
159	4186210
160	4216490
161	4193780
162	4193780
163	4564710
164	4314900
165	4383030
166	6638890
167	6252820
168	5079470
169	4352750
170	4882650
171	4458730
172	3989390
173	4186210
174	7024960
175	5102180
176	4080230
177	4330040
178	4178640
179	4057520
180	4034810
181	5253580
182	5738060
183	4095370
184	4110510
185	3792570
186	3906120
187	4231630
188	6305810
189	6063570
190	4466300
191	5934880
192	6449640
193	7176360
194	7191500
195	6313380
196	4390600
197	3974250
198	4405740
199	3822850
200	4216490
201	3815280
202	4292190
203	4193780
204	4352750
205	4208920
206	4042380
207	3792570
208	4171070
209	4034810
210	3883410
211	3830420
212	4110510
213	3822850
214	4594990
215	6525340
216	6373940
217	4216490
218	3974250
219	4216490
220	3754720
221	3913690
222	3603320
223	4791810
224	3981820
225	3724440
226	3883410
227	4413310
228	3815280
229	6267960
230	5950020
231	4481440
232	3966680
233	4080230
234	4852370
235	3565470
236	3648740
237	3785000
238	3679020
239	3648740
240	4594990
241	7161220
242	7176360
243	5624510
244	4700970
245	4155930
246	3943970
247	4549570
248	6275530
249	4277050
250	4572280
251	3981820
252	3565470
253	3747150
254	3875840
255	3777430
256	3610890
257	3951540
258	3800140
259	3406500
260	3671450
261	3694160
262	4133220
263	3482200
264	3837990
265	3588180
266	3436780
267	3557900
268	3724440
269	3520050
270	3686590
271	3315660
272	3633600
273	3459490
274	3557900
275	3573040
276	3429210
277	3133980
278	2664640
279	5056760
280	3943970
281	4632840
282	3777430
283	3406500
284	6078710
285	6858420
286	4950780
287	4981060
288	6532910
289	4564710
290	3694160
291	3648740
292	3671450
293	3557900
294	3785000
295	3747150
296	4534430
297	4912930
298	4261910
299	3747150
300	4019670
301	5510960
302	3951540
303	4004530
304	3989390
305	3822850
306	7093090
307	6646460
308	5783480
309	6994680
310	6661600
311	5018910
312	3868270
313	3981820
314	3769860
315	3732010
316	4087800
317	4428450
318	3906120
319	4769100
320	4928070
321	4231630
322	6911410
323	7221780
324	7199070
325	6548050
326	5374700
327	4935640
328	3989390
329	4239200
330	3974250
331	4458730
332	3996960
333	4496580
334	4882650
335	4171070
336	4027240
337	3815280
338	4087800
339	3936400
340	3807710
341	3694160
342	3815280
343	3648740
344	3368650
345	3860700
346	3580610
347	3853130
348	3747150
349	3868270
350	3679020
351	3906120
352	5034050
353	6366370
354	5011340
355	4761530
356	4367890
357	4239200
358	4224060
359	4065090
360	4034810
361	4178640
362	3951540
363	3921260
364	3981820
365	3943970
