Sumo__Time	Sumo__Plant__Metal1__param__Femass
1	5809975
2	6150625
3	9908183.75
4	9111630.5
5	6585900
6	6112775
7	5582875
8	5668037.5
9	5677500
10	7422990.6
11	10787250
12	10844025
13	10798605
14	8852812.2
15	6491275
16	6661600
17	10587402
18	10855380
19	9565641.25
20	9470221.4
21	7900241.25
22	5722920
23	7675866.45
24	7387449.45
25	5299000
26	4958350
27	5034050
28	4269480
29	4625270
30	4390600
31	4700970
32	4852370
33	4844800
34	4647980
35	4443590
36	4436020
37	4625270
38	7499409.75
39	10855380
40	10012649.75
41	6192260
42	5393965.65
43	8954666.55
44	6124130
45	5556380
46	5291430
47	4943210
48	5087040
49	4912930
50	4640410
51	4708540
52	4526860
53	4572280
54	4602560
55	6987261.4
56	10153943.8
57	6237680
58	5276290
59	6787413.4
60	10855380
61	10866735
62	10866735
63	7594224
64	5715350
65	6253047.1
66	7896418.4
67	5102180
68	4617700
69	4481440
70	4277050
71	4231630
72	3789844.8
73	3383790
74	3116947.5
75	3275917.5
76	3338370
77	4241092.5
78	3713085
79	3855022.5
80	3554115
81	3565470
82	3497340
83	4409297.9
84	4144575
85	4604452.5
86	4434127.5
87	3968572.5
88	3809602.5
89	8190512.9
90	10753185
91	10787250
92	10775895
93	10764540
94	9032675.4
95	6786391.45
96	7888053.55
97	8960987.5
98	8970450
99	9027225
100	7423899
101	8970450
102	9036687.5
103	8951525
104	6436014
105	4507935
106	4150252.5
107	3855022.5
108	3815280
109	4620614.45
110	8942062.5
111	8960987.5
112	8726128.25
113	5018910
114	4144575
115	3571147.5
116	3503017.5
117	3923152.5
118	3537082.5
119	3258885
120	6843658.5
121	7675752.9
122	4570387.5
123	4013992.5
124	6068112
125	8970450
126	8942062.5
127	9008300
128	8683395.6
129	5818150.6
130	4876972.5
131	4695292.5
132	4354642.5
133	3889087.5
134	3758505
135	3889087.5
136	4547677.5
137	3809602.5
138	3610890
139	3503017.5
140	3792570
141	6749866.2
142	6330980.25
143	4859940
144	4258125
145	6314439.8
146	6259443.75
147	4269480
148	3979927.5
149	4008315
150	3508695
151	3593857.5
152	3253207.5
153	3133980
154	3116947.5
155	3213465
156	3281595
157	3111270
158	3190755
159	3139657.5
160	3162367.5
161	3145335
162	3145335
163	3423532.5
164	3236175
165	3287272.5
166	5477084.25
167	4908463.7
168	3809602.5
169	3264562.5
170	3661987.5
171	3344047.5
172	2992042.5
173	3244312.75
174	6954710.4
175	3826635
176	3060172.5
177	3247530
178	3133980
179	3043140
180	3026107.5
181	3940185
182	4303545
183	3071527.5
184	3082882.5
185	2844427.5
186	2929590
187	3173722.5
188	5139235.15
189	5093398.8
190	3349725
191	5133671.2
192	5127463.8
193	7176360
194	6328520
195	4735035
196	3292950
197	2980687.5
198	3304305
199	2867137.5
200	3162367.5
201	2861460
202	3219142.5
203	3145335
204	3264562.5
205	3156690
206	3031785
207	3090944.55
208	4171070
209	3772547.35
210	2912557.5
211	2872815
212	3082882.5
213	2867137.5
214	3446242.5
215	5057138.5
216	4780455
217	3162367.5
218	2980687.5
219	3162367.5
220	2816040
221	2935267.5
222	2702490
223	3593857.5
224	2986365
225	2793330
226	2912557.5
227	3332049.05
228	3414675.6
229	6267960
230	4938516.6
231	3361080
232	2975010
233	3060172.5
234	3639277.5
235	2674102.5
236	2736555
237	2838750
238	2759265
239	2736555
240	3675992
241	6122843.1
242	4198170.6
243	2812255
244	2350485
245	2077965
246	2524140.8
247	3548664.6
248	5240067.55
249	3207787.5
250	3429210
251	2986365
252	2674102.5
253	2810362.5
254	2906880
255	2833072.5
256	2997038.7
257	3951540
258	3800140
259	3406500
260	3671450
261	4026634.4
262	5538514.8
263	5223300
264	5756985
265	5992260.6
266	6873560
267	7115800
268	7355769
269	7040100
270	7373180
271	6631320
272	7267200
273	6918980
274	7115800
275	7146080
276	6858420
277	5390445.6
278	3996960
279	7585140
280	5915955
281	6323826.6
282	3777430
283	3406500
284	6078710
285	6858420
286	4084393.5
287	3735795
288	4899682.5
289	3423532.5
290	2770620
291	2736555
292	2753587.5
293	2668425
294	2838750
295	2810362.5
296	3400822.5
297	3684697.5
298	3196432.5
299	2810362.5
300	3014752.5
301	4133220
302	2963655
303	3003397.5
304	2992042.5
305	2886251.75
306	7093090
307	2425957.9
308	1185613.4
309	5665690.8
310	2264944
311	0
312	0
313	1871455.4
314	2827395
315	2799007.5
316	3065850
317	3321337.5
318	2929590
319	3576825
320	3696052.5
321	3829625.15
322	6911410
323	3105365.4
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	1226150.75
332	2997720
333	3372435
334	3661987.5
335	3128302.5
336	3020430
337	2861460
338	3065850
339	2952300
340	2855782.5
341	2770620
342	2861460
343	2736555
344	2526487.5
345	2895525
346	2685457.5
347	2889847.5
348	2810362.5
349	2901202.5
350	2759265
351	2929590
352	3775537.5
353	4774777.5
354	3758505
355	3571147.5
356	3275917.5
357	3179400
358	3168045
359	3048817.5
360	3026107.5
361	3133980
362	3220505.1
363	3921260
364	3981820
365	3943970
